Order_ID,Customer,Product,Quantity,Price,Status
1063,"Davis, Michael","Laptop Charger",2,59.99,Delivered
1064,"Jackson, David","Monitor Stand",3,34.75,Shipped
1065,"Thomas, Elizabeth","USB Cable",4,8.50,Returned
1066,"Smith, James","External SSD",1,89.99,Shipped
1067,"Johnson, Anne","Mechanical Keyboard",2,89.00,Delivered
1068,"Martinez, Patricia","HDMI Adapter",,12.00,Shipped
1069,"Wilson, Mary","Bluetooth Speaker",3,39.50,Pending
1070,"Brown, Robert","Webcam",1,49.99,Shipped
1071,"Anderson, William","Docking Station",2,119.00,Delivered
1072,"Harris, Richard","Smartphone Case",5,15.75,Cancelled
1073,"Clark, Daniel","Wireless Mouse",4,25.99,Shipped
1074,"Thompson, Joseph","USB Hub",1,19.99,Delivered
1075,"Lee, Susan","Portable Monitor",,139.99,Shipped
1076,"Martinez, Charles","Gaming Headset",3,67.50,Returned
1077,"Robinson, Karen","Laptop Charger",1,59.99,Shipped
1078,"Taylor, Linda","Monitor Stand",2,34.75,Delivered
1079,"White, Barbara","USB Cable",6,8.50,Pending
1080,"Rodriguez, Matthew","External SSD",2,79.99,Shipped
1081,"Garcia, Jessica","Mechanical Keyboard",1,89.00,Delivered
1082,"Davis, Michael","HDMI Adapter",,12.00,Shipped
1083,"Jackson, David","Bluetooth Speaker",4,44.99,Cancelled
1084,"Thomas, Elizabeth","Webcam",2,49.99,Shipped
1085,"Smith, James","Docking Station",1,109.00,Delivered
1086,"Johnson, Anne","Smartphone Case",3,15.75,Shipped
1087,"Martinez, Patricia","Wireless Mouse",5,25.99,Pending
1088,"Wilson, Mary","USB Hub",2,24.50,Shipped
1089,"Brown, Robert","Portable Monitor",1,129.99,Delivered
1090,"Anderson, William","Gaming Headset",,67.50,Shipped
1091,"Harris, Richard","Laptop Charger",2,59.99,Returned
1092,"Clark, Daniel","Monitor Stand",3,34.75,Shipped
1093,"Thompson, Joseph","USB Cable",5,8.50,Delivered
1094,"Lee, Susan","External SSD",1,89.99,Shipped
1095,"Martinez, Charles","Mechanical Keyboard",2,89.00,Pending
1096,"Robinson, Karen","HDMI Adapter",,12.00,Shipped
1097,"Taylor, Linda","Bluetooth Speaker",2,39.50,Delivered
1098,"White, Barbara","Webcam",3,49.99,Shipped
1099,"Rodriguez, Matthew","Docking Station",1,119.00,Cancelled
1100,"Garcia, Jessica","Smartphone Case",4,15.75,Shipped
